"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"ABHD17C" 123.980590615037 -0.321107555654062 1.75128298013408 -0.183355608029422 0.854519004976789 0.999333640143859
"ABHD18" 508.778961865523 0.0868486015697599 0.661442164657021 0.131301882780324 0.895536502443855 0.999333640143859
"ABHD2" 4355.07682822157 0.203537844068535 0.626987927464372 0.32462801140633 0.745462624428132 0.999333640143859
"ABHD3" 284.836071480353 -0.0393075990457025 0.897144564149753 -0.0438141193921799 0.965052572245251 0.999333640143859
"ABHD4" 243.325395707631 -1.98204399840157 0.673729299885534 -2.94189966020227 0.00326205606069574 0.100726561395136
"ABHD5" 455.228614427311 0.270918425370759 0.771698455335815 0.35106773053325 0.725537536358171 0.999333640143859
"ABHD6" 152.928982509411 -0.0554489071931652 0.682625623265204 -0.0812288688021061 0.935259941384635 0.999333640143859
"ABHD8" 55.1778281283046 -3.13659739298102 1.14971759156884 -2.72814595165147 0.00636914205404054 0.151352730531501
"ABI1" 1366.06823707636 0.419803217076007 0.529392145007271 0.792991020050442 0.427783054720244 0.965367637605858
"ABI1P1" 2.55631501869186 0.164865846691989 3.4980256644145 0.0471311140936368 0.962408729423695 NA
"ABI2" 2516.22521073385 0.666071538774289 0.580045465434922 1.14830919034056 0.250840946494832 0.864665367655121
"ABI3" 186.993039406176 -0.970359617798088 0.759477188987147 -1.27766789031831 0.201366551548375 0.808158594425593
"ABI3BP" 9787.26114165513 -0.137611211908279 0.711017056811138 -0.193541365273929 0.84653501360894 0.999333640143859
"ABITRAM" 93.9037187940507 -1.82983029175738 1.54882951231997 -1.1814278312766 0.237432807270057 0.852317926559906
"ABITRAMP1" 0.107508975723603 -1.36452961435786 5.77037181931721 -0.236471696640047 0.813066667362044 NA
"ABL1" 1932.5782947971 -0.427280411273655 0.597343053846543 -0.715301548284887 0.474422732063121 0.979751657324319
"ABL2" 1957.97957591421 0.17829067952205 0.412405256311221 0.432319124922848 0.665509489027129 0.999333640143859
"ABLIM1" 3770.44146200339 0.757784681955234 0.755068789116205 1.00359688134138 0.315572958397453 0.913667013165386
"ABLIM2" 83.6301152131331 4.09826478001719 1.26593214809433 3.23734947894838 0.00120645565626789 0.0514156170866784
"ABLIM3" 749.456495442388 0.180036976177922 1.01875075571759 0.176723281104323 0.859725753019692 0.999333640143859
"ABO" 169.373925634897 0.713757346278096 0.97686686204429 0.730659800235639 0.46498697566817 0.976373669757011
"ABR" 3452.60749918749 -0.576434123789542 0.473111472638001 -1.21838965471589 0.223075934547075 0.838247076675007
"ABRA" 29.7953918347538 -0.697202054151562 1.616298002061 -0.431357369286192 0.666208542251284 0.999333640143859
"ABRACL" 264.927117851208 2.13012034167061 0.85640633332318 2.48727766106649 0.0128724888229732 0.233729345177695
"ABRAXAS1" 502.422440407549 -0.28677676949198 0.576460112474049 -0.49747894656786 0.618851345853436 0.998095225096172
"ABRAXAS2" 304.454726392357 0.421790127388386 0.968722861416931 0.435408458071736 0.663265972107658 0.999333640143859
"ABT1" 170.712628286537 -0.859852833653368 1.58718938005727 -0.541745581502281 0.587993784380997 0.998095225096172
"ABT1P1" 3.79031453279972 1.53145157382053 3.61070356292086 0.424142150451606 0.67146214704753 NA
"ABTB1" 543.831945896151 -1.12852155065871 0.658706872729326 -1.71323785644247 0.0866687897624541 0.592996982585212
"ABTB2" 196.392178387924 0.72565298534213 0.770092753847311 0.942292966291185 0.346042668271323 0.931639607635497
"ACAA1" 513.886307810988 -0.925132766563272 0.706705821821777 -1.309077607679 0.19050806349277 0.800129376701767
"ACAA2" 409.491550764773 -0.10410658509191 0.456696671694179 -0.227955646590793 0.81968072161958 0.999333640143859
"ACACA" 1165.62806292228 0.753144025984887 0.594759950872689 1.26629915965223 0.205405997710067 0.814150854361963
"ACACB" 1343.89604089028 0.630152382163633 1.05544224983893 0.597050556067659 0.550473627515448 0.99308075680441
"ACAD10" 303.618663277024 -0.536735310515022 0.863784390814262 -0.62137648726097 0.534351938757457 0.990043487707789
"ACAD11" 593.766431119811 2.07414470374356 1.04472286227955 1.98535399064384 0.047105101057772 0.457448784283573
"ACAD8" 227.418408180046 -0.780080320716322 1.28462717815247 -0.607242579001186 0.543689938930843 0.992158851249486
"ACAD9" 806.592688693403 -0.329397906256954 0.713918397414032 -0.461394337854445 0.644515713082914 0.999333640143859
